order_id,first_name,last_name,order_date,order_year,order_month,revenue_per_item,product_name,product_category
41454,Eduardo,Mclean,2025-01-01 13:07:00.000000 UTC,2025,1,55.0,Quiksilver Waterman Men's Down Under Walkshort,Shorts
15885,Sandra,Melton,2024-01-09 13:54:00.000000 UTC,2024,1,23.950000762939453,Smartwool Women's Gleaming Seedling Knee Sock,Socks & Hosiery
99434,Tiffany,Brooks,2020-01-10 14:54:00.000000 UTC,2020,1,45.0,adidas Condivo 12 Training Pant - Womens - Black/White,Active
5697,Jennifer,Johnson,2025-01-26 02:07:00.000000 UTC,2025,1,115.0,Cosabella Ceylon Camisole (ceylo17),Intimates
47374,James,Lam,2023-01-20 17:55:00.000000 UTC,2023,1,240.0,Icebreaker Men's Orion Cardigan,Sweaters
69145,Amber,Sandoval,2024-01-22 03:49:00.000000 UTC,2024,1,25.0,Body Glove Juniors' Smoothies Sidekick Swim Short,Swim
39099,Janet,Gilmore,2025-01-20 09:28:00.000000 UTC,2025,1,59.0,Kenneth Cole Women's That's Swanky Sash Hipster Pant,Swim
41687,Erik,Acosta,2025-01-04 14:28:00.000000 UTC,2025,1,57.209999084472656,Wrangler Men's Rugged Wear Classic Fit Jean,Jeans
35493,Elizabeth,Gomez,2025-01-03 10:03:00.000000 UTC,2025,1,25.989999771118164,ICE (2347) pencil skirt stretch sateen + FREE belt red size 6-16,Suits
35493,Elizabeth,Gomez,2025-01-03 10:03:00.000000 UTC,2025,1,79.989997863769531,Women's Marine Algae Braless T-shirt. Lift up Breast. Special Fabric That Massages the Skin. Waist Abdomen and Back Control. Contains Marine Algae to Hydrate the Skin.,Intimates
73816,Maureen,Ramirez,2025-01-02 00:17:00.000000 UTC,2025,1,95.660003662109361,McGinn Women's Zoey Scallop Short,Shorts
243,Rickey,Williams,2025-01-16 16:40:00.000000 UTC,2025,1,49.5,Oneill Men's Wall Street Stretch Boardshort,Swim
87466,Sherry,Perez,2024-01-07 17:56:00.000000 UTC,2024,1,31.989999771118164,Black Sleak Silky Wet Look - Black Plain Designer Gloss Leggings,Leggings
80926,Emma,Cole,2023-01-19 09:29:00.000000 UTC,2023,1,16.5,Black Fuchsia Shapewear High Waist Firm Control Brief,Intimates
29498,Jeffrey,Wolfe,2025-01-29 15:44:00.000000 UTC,2025,1,25.0,Perry Ellis Men's Flat Front Twill Short,Shorts
29498,Jeffrey,Wolfe,2025-01-29 15:44:00.000000 UTC,2025,1,49.5,Calvin Klein Jeans Men's Hero Waffle Hoodie,Tops & Tees
4716,Charles,Castaneda,2021-01-30 10:27:00.000000 UTC,2021,1,38.0,ExOfficio Men's Give-N-Go Tee,Active
69789,Patrick,Chapman,2021-01-31 07:55:00.000000 UTC,2021,1,903.0,The North Face Apex Bionic Soft Shell Jacket - Men's,Active
